gene,correlation,rmse,n_samples
ALMS1,0.6675026591725999,10.093239814334028,10
CDC42EP5,0.6669640115297658,20.415522067032956,10
BDNF,0.6668619902321483,0.06126618014006131,10
ZSCAN31,0.6663651401932588,20.593826639521794,10
FP565260.3,0.6660453209006213,1.5580857195014783,10
RPS3A,0.6652702233875775,439.36887577357265,10
ADCY2,0.665155301795374,9.142311064627982,10
PIAS2,0.6640706337899394,4.885945572347431,10
GALNT18,0.6637631954625421,22.734107968173728,10
LINC02642,0.6635620898952458,0.11396461481343312,10
B3GAT2,0.6635163791373794,0.07818070504610816,10
AL352979.4,0.6628340282024026,0.7047245311079345,10
AC024560.3,0.6625403652839826,2.8656875315373047,10
IGFBP6,0.6624860700011515,57.54342078013691,10
RPL10A,0.6621043269261905,1520.3491904520506,10
ZADH2,0.6616120643927758,23.540529430898605,10
AC027097.1,0.6614495217632845,1.6115230936560758,10
TBL1X,0.6594774725678838,30.778409514745746,10
AL591684.2,0.6591023549366298,0.04853221357749001,10
NAIP,0.6581784128074202,0.26194941469712585,10
FAM122C,0.6581687885937644,0.7830164242104298,10
INPP5K,0.6581463613256958,28.99237765259348,10
AC004803.1,0.655956170809883,3.671468425207172,10
UBTD1,0.6548842930107299,36.06920132603883,10
TSPAN8,0.6533129782217119,7.827690655933217,10
AC138932.4,0.652472340035043,0.6534679081069538,10
CWC15,0.6519946322987761,57.00306210051742,10
AC064875.1,0.6518125902331086,0.18714263599958916,10
SFTA2,0.6513962911729926,0.2284645719143454,10
PAQR7,0.6511916928961577,18.032181923690217,10
STPG1,0.6505563647851916,5.180376022007182,10
ZNF326,0.650453693137604,11.211339342513636,10
NAPA-AS1,0.6494469070830029,0.9003382788501915,10
AC020915.2,0.6488769183251205,2.0337325004756397,10
CYB5RL,0.6484176188641586,2.5406363731367,10
C11orf96,0.6479733302167819,12.168098442355813,10
MCM9,0.6477593363927232,5.557752272077173,10
CPSF7,0.6474400229621609,53.89507830216902,10
AUTS2,0.647330509843735,13.362927143921052,10
TEFM,0.6471469775033761,5.898889571473262,10
GTPBP10,0.6469451722540972,6.24568476259039,10
LINC01285,0.6468588652051559,0.33809442516783134,10
LINC02156,0.6455915682075157,0.11830582560506422,10
AL050341.2,0.6455046322511987,15.363069362720033,10
STAR,0.6453995404698663,1.9837586391966526,10
LINC02802,0.6447242920399141,0.8132277836046174,10
TCHH,0.644628206884704,0.21549042173673932,10
AC005618.1,0.6445736888997657,0.5272859862603164,10
TMEM179,0.6443404620065493,0.24912740819133183,10
AC010327.8,0.6441409938876738,0.2173721056454651,10
UBE2A,0.6438616061012497,52.8217296912944,10
ROM1,0.6436111856764297,4.034553522962263,10
CFAP100,0.6434199783984799,0.0916899126701724,10
SV2C,0.6431280587634314,0.037358912790361354,10
AL138995.1,0.643073290587949,0.47325875829694114,10
AC097382.2,0.6430516388355956,0.5064697813007061,10
UPK2,0.6427827216419705,1.8399750905123586,10
LINC01239,0.6426242354197109,4.429807396479017,10
A1BG,0.6422549687640859,0.1552533002353943,10
MIR3150BHG,0.6421387053127672,2.414960668670751,10
MSX1,0.6418030639803765,4.904615905097007,10
TRNT1,0.6416114927737014,11.843002935776388,10
AC009802.1,0.6412737143009064,0.48048103022297367,10
SENP2,0.6403094409080544,28.41648745614941,10
LGR4,0.6400728944380317,17.142751501496356,10
SPAG7,0.6395604936048332,44.01155603162753,10
PFAS,0.6392568786084881,13.351704522038677,10
CLUL1,0.6391043788385592,2.310876872359661,10
CFAP161,0.6382627437626083,0.8436272702761155,10
HOXB8,0.6372373882531369,0.8574610954350868,10
AC188617.1,0.6372260703866052,0.07131860358634404,10
LY6H,0.6370195448716788,2.144744888376208,10
AC104695.3,0.6367980161233746,2.23945699619372,10
FKBP8,0.6362840962764825,294.9384861214323,10
SPTSSA,0.6356523710748071,141.4205044356505,10
DENND5B-AS1,0.6352945163767458,0.6001574734341228,10
FAM178B,0.6351515356404709,1.785745422954837,10
MED10,0.6348163800555393,42.80187731504112,10
PDGFA,0.6344762273804984,18.65191332148483,10
ANGPTL6,0.6344085683964136,0.5190531414065427,10
RMDN1,0.6336335791422916,31.03312753731562,10
